,area,Quarter,violations,lon,lat,borough,violations_borough_total,borough_avg,deviation_pct
0,Astoria,2024Q4,374,-73.92349999999996,40.76440014623464,Queens,11378,1896.3333333333333,-0.8027772895060643
1,Astoria,2025Q1,1203,-73.92349999999996,40.76440014623464,Queens,31231,5205.166666666667,-0.7688834811565431
2,Astoria,2025Q2,1193,-73.92349999999996,40.76440014623464,Queens,33972,5662.0,-0.7892970681737902
3,Astoria,2025Q3,1166,-73.92349999999996,40.76440014623464,Queens,26386,4397.666666666667,-0.7348593951337831
4,Astoria,2025Q4,462,-73.92349999999996,40.76440014623464,Queens,7359,1226.5,-0.6233183856502242
5,Bed-Stuy,2024Q4,768,-73.94180000000003,40.68720014677408,Brooklyn,23975,2996.875,-0.7437330552659019
6,Bed-Stuy,2025Q1,2153,-73.94180000000003,40.68720014677408,Brooklyn,58789,7348.625,-0.7070200207521815
7,Bed-Stuy,2025Q2,2157,-73.94180000000003,40.68720014677408,Brooklyn,53593,6699.125,-0.6780176515589722
8,Bed-Stuy,2025Q3,2310,-73.94180000000003,40.68720014677408,Brooklyn,51898,6487.25,-0.6439169139465876
9,Bed-Stuy,2025Q4,478,-73.94180000000003,40.68720014677408,Brooklyn,12993,1624.125,-0.7056876779804511
10,Bensonhurst,2024Q4,781,-73.99700000000001,40.61150014730246,Brooklyn,23975,2996.875,-0.7393952033368092
11,Bensonhurst,2025Q1,2032,-73.99700000000001,40.61150014730246,Brooklyn,58789,7348.625,-0.7234856860977393
12,Bensonhurst,2025Q2,1725,-73.99700000000001,40.61150014730246,Brooklyn,53593,6699.125,-0.7425036851827664
13,Bensonhurst,2025Q3,1464,-73.99700000000001,40.61150014730246,Brooklyn,51898,6487.25,-0.774326563644071
14,Bensonhurst,2025Q4,319,-73.99700000000001,40.61150014730246,Brooklyn,12993,1624.125,-0.8035865466020164
15,Bushwick,2024Q4,858,-73.92130000000002,40.694300146724466,Brooklyn,23975,2996.875,-0.7137017726798749
16,Bushwick,2024Q4,858,-73.92130000000002,40.694300146724466,Brooklyn,23975,2996.875,-0.7137017726798749
17,Bushwick,2025Q1,2316,-73.92130000000002,40.694300146724466,Brooklyn,58789,7348.625,-0.6848390004932896
18,Bushwick,2025Q1,2316,-73.92130000000002,40.694300146724466,Brooklyn,58789,7348.625,-0.6848390004932896
19,Bushwick,2025Q2,2122,-73.92130000000002,40.694300146724466,Brooklyn,53593,6699.125,-0.6832422144683075
20,Bushwick,2025Q2,2122,-73.92130000000002,40.694300146724466,Brooklyn,53593,6699.125,-0.6832422144683075
21,Bushwick,2025Q3,1870,-73.92130000000002,40.694300146724466,Brooklyn,51898,6487.25,-0.7117422636710471
22,Bushwick,2025Q3,1870,-73.92130000000002,40.694300146724466,Brooklyn,51898,6487.25,-0.7117422636710471
23,Bushwick,2025Q4,282,-73.92130000000002,40.694300146724466,Brooklyn,12993,1624.125,-0.8263680443315632
24,Bushwick,2025Q4,282,-73.92130000000002,40.694300146724466,Brooklyn,12993,1624.125,-0.8263680443315632
25,Crown Heights,2024Q4,718,-73.94479999999999,40.668100146907456,Brooklyn,23975,2996.875,-0.7604171011470282
26,Crown Heights,2025Q1,2013,-73.94479999999999,40.668100146907456,Brooklyn,58789,7348.625,-0.7260712037966286
27,Crown Heights,2025Q2,1729,-73.94479999999999,40.668100146907456,Brooklyn,53593,6699.125,-0.7419065922788424
28,Crown Heights,2025Q3,1469,-73.94479999999999,40.668100146907456,Brooklyn,51898,6487.25,-0.7735558210335658
29,Crown Heights,2025Q4,397,-73.94479999999999,40.668100146907456,Brooklyn,12993,1624.125,-0.7555606865235127
30,DUMBO,2024Q4,843,-73.98809999999997,40.70330014666162,Brooklyn,23975,2996.875,-0.7187069864442127
31,DUMBO,2025Q1,2218,-73.98809999999997,40.70330014666162,Brooklyn,58789,7348.625,-0.6981748286244025
32,DUMBO,2025Q2,2128,-73.98809999999997,40.70330014666162,Brooklyn,53593,6699.125,-0.6823465751124214
33,DUMBO,2025Q3,1883,-73.98809999999997,40.70330014666162,Brooklyn,51898,6487.25,-0.7097383328837334
34,DUMBO,2025Q4,535,-73.98809999999997,40.70330014666162,Brooklyn,12993,1624.125,-0.6705918571538521
35,Downtown Brooklyn,2024Q4,2696,-73.9905,40.69250014673706,Brooklyn,23975,2996.875,-0.10039624608967675
36,Downtown Brooklyn,2025Q1,8509,-73.9905,40.69250014673706,Brooklyn,58789,7348.625,0.15790368946571637
37,Downtown Brooklyn,2025Q2,8297,-73.9905,40.69250014673706,Brooklyn,53593,6699.125,0.23851995596439834
38,Downtown Brooklyn,2025Q3,7447,-73.9905,40.69250014673706,Brooklyn,51898,6487.25,0.14794404408647732
39,Downtown Brooklyn,2025Q4,2069,-73.9905,40.69250014673706,Brooklyn,12993,1624.125,0.2739167243900562
40,Elmhurst,2024Q4,1624,-73.87800000000003,40.73650014642968,Queens,11378,1896.3333333333333,-0.1436104763578836
41,Elmhurst,2025Q1,4819,-73.87800000000003,40.73650014642968,Queens,31231,5205.166666666667,-0.07418910697704209
42,Elmhurst,2025Q2,4490,-73.87800000000003,40.73650014642968,Queens,33972,5662.0,-0.20699399505475097
43,Elmhurst,2025Q3,2177,-73.87800000000003,40.73650014642968,Queens,26386,4397.666666666667,-0.5049647540362314
44,Elmhurst,2025Q4,445,-73.87800000000003,40.73650014642968,Queens,7359,1226.5,-0.6371789645332246
45,Flatbush,2024Q4,7670,-73.95980000000002,40.64090014709733,Brooklyn,23975,2996.875,1.559332638164755
